.id,x,pressure,depth,temperature,temp2,sal1,sal2,density1,density2,o1,o2,o3,o4,cdom,fluor1,atten,trans,par,spar,lat,lon,y0,y00,stnname,transect
stnx.10,NA,8.658,8.6,22.8789,22.8563,30.6317,30.6321,20.659,20.6657,4.9468,98.137,5.0683,100.508,3.7925,0.4409,0.3849,90.8273,0.83591,1.9459,29.30617,-94.39426,0,0,SEAMAP-B220,tran2
stnx.10,NA,8.86,8.8,22.834,22.8146,30.6389,30.6401,20.6771,20.6835,4.9394,97.918,5.0782,100.634,3.8815,0.4439,0.3816,90.9021,0.69463,2.345,29.30618,-94.39426,0,0,SEAMAP-B220,tran2
stnx.10,NA,9.061,9,22.7971,22.7973,30.6402,30.6362,20.6884,20.6853,4.9554,98.17,5.0786,100.609,3.8032,0.4378,0.3992,90.5025,0.6504,2.7486,29.30618,-94.39428,0,0,SEAMAP-B220,tran2
stnx.10,NA,9.263,9.2,22.7929,22.7601,30.6348,30.633,20.6855,20.6934,4.9707,98.464,5.0817,100.602,3.9344,0.4429,0.4046,90.3793,0.60527,2.251,29.30618,-94.39428,0,0,SEAMAP-B220,tran2
stnx.10,NA,9.464,9.4,22.7533,22.7459,30.6335,30.6317,20.6957,20.6964,4.9612,98.205,5.0812,100.566,3.7829,0.445,0.409,90.2816,0.56587,2.5145,29.30618,-94.39428,0,0,SEAMAP-B220,tran2
stnx.10,NA,9.665,9.6,22.7481,22.7446,30.6356,30.6299,20.6987,20.6954,4.9494,97.963,5.0787,100.514,3.6646,0.5298,0.4187,90.0611,0.5796,2.5128,29.30618,-94.39429,0,0,SEAMAP-B220,tran2
stnx.10,NA,9.867,9.8,22.7307,22.723,30.6311,30.6293,20.7002,20.701,4.9586,98.114,5.0712,100.326,3.64,0.5242,0.4227,89.9711,0.52342,2.3938,29.30618,-94.3943,0,0,SEAMAP-B220,tran2
stnx.10,NA,10.068,10,22.7365,22.7255,30.6297,30.6256,20.6975,20.6975,4.961,98.17,5.0519,99.947,3.8128,0.4848,0.4192,90.0518,0.48848,2.4428,29.30618,-94.3943,0,0,SEAMAP-B220,tran2
stnx.10,NA,10.27,10.2,22.704,22.7127,30.6308,30.6292,20.7075,20.7038,4.9671,98.235,5.0592,100.07,3.6499,0.4731,0.4175,90.0887,0.44187,1.5137,29.30618,-94.39432,0,0,SEAMAP-B220,tran2
stnx.10,NA,10.471,10.4,22.6508,22.6208,30.6232,30.6285,20.7166,20.729,4.9587,97.971,5.0623,99.969,3.6389,0.4675,0.4136,90.1766,0.44578,2.2856,29.30618,-94.39432,0,0,SEAMAP-B220,tran2
stnx.10,NA,10.672,10.6,22.5793,22.5662,30.6267,30.6201,20.7392,20.7379,4.9406,97.491,5.0579,99.78,3.9726,0.4778,0.413,90.1923,0.41617,2.47,29.30618,-94.39432,0,0,SEAMAP-B220,tran2
stnx.10,NA,10.874,10.8,22.5232,22.5234,30.6366,30.635,20.7624,20.761,4.949,97.565,5.0447,99.452,3.8483,0.4952,0.3995,90.4953,0.38856,2.8166,29.3062,-94.39434,0,0,SEAMAP-B220,tran2
stnx.10,NA,11.075,11,22.5253,22.5236,30.65,30.6483,20.7719,20.7711,4.9584,97.762,5.0459,99.483,3.8729,0.4679,0.4067,90.3319,0.35494,3.0161,29.3062,-94.39434,0,0,SEAMAP-B220,tran2
stnx.10,NA,11.276,11.2,22.5059,22.5042,30.6493,30.6466,20.7768,20.7752,4.9606,97.772,5.0566,99.658,3.9102,0.43,0.4195,90.0427,0.37391,3.255,29.3062,-94.39434,0,0,SEAMAP-B220,tran2
stnx.10,NA,11.478,11.4,22.4091,22.4009,30.6441,30.6458,20.7997,20.8033,4.9629,97.644,5.0834,100.002,3.9882,0.4463,0.4143,90.1602,0.33094,3.2396,29.3062,-94.39434,0,0,SEAMAP-B220,tran2
stnx.10,NA,11.679,11.6,22.3819,22.3811,30.6647,30.6626,20.8229,20.8215,4.9765,97.876,5.1009,100.32,3.8314,0.4598,0.4167,90.1069,0.31515,3.0298,29.3062,-94.39434,0,0,SEAMAP-B220,tran2
stnx.10,NA,11.88,11.8,22.4137,22.4454,30.6658,30.6552,20.8149,20.798,4.9825,98.051,5.0893,100.204,3.8776,0.4898,0.4111,90.2331,0.31148,2.9025,29.3062,-94.39437,0,0,SEAMAP-B220,tran2
stnx.10,NA,12.082,12,22.3027,22.2896,30.7187,30.7219,20.8857,20.8918,5.0071,98.37,5.0714,99.613,3.9251,0.5291,0.4271,89.8726,0.29325,3.1315,29.3062,-94.39437,0,0,SEAMAP-B220,tran2
stnx.10,NA,12.283,12.2,22.3137,22.3092,30.7451,30.7368,20.9027,20.8977,4.9938,98.143,5.0661,99.552,4.1683,0.5243,0.5716,86.7213,0.28009,3.3604,29.3062,-94.39438,0,0,SEAMAP-B220,tran2
stnx.10,NA,12.485,12.4,22.5139,22.5106,30.9364,30.8813,20.992,20.9512,4.9565,97.868,5.0392,99.462,4.1811,0.5243,2.627,52.784,0.27397,3.3504,29.3062,-94.39438,0,0,SEAMAP-B220,tran2
stnx.10,NA,12.686,12.6,22.786,22.7765,31.0862,31.0944,21.0294,21.0383,4.9103,97.51,5.0009,99.297,4.1543,0.669,5.442,25.5925,0.24737,3.0033,29.3062,-94.39438,0,0,SEAMAP-B220,tran2
