"","Cruise","depth","sal","temp","dissolvedO","dO_percent","id"
"8205","RP2",106,36.5209,20.6865,2.6434,52.19,"ADAPTIVE STN 2"
"8206","RP2",105.8,36.521,20.7057,2.6423,52.186,"ADAPTIVE STN 2"
"8207","RP2",105.6,36.5238,20.7185,2.6443,52.239,"ADAPTIVE STN 2"
"8208","RP2",105.2,36.5104,20.7347,2.6619,52.604,"ADAPTIVE STN 2"
"8209","RP2",105,36.5179,20.7464,2.657,52.513,"ADAPTIVE STN 2"
"8210","RP2",104.8,36.5201,20.7572,2.6603,52.59,"ADAPTIVE STN 2"
"8211","RP2",104.4,36.5063,20.7552,2.6571,52.532,"ADAPTIVE STN 2"
"8212","RP2",104.2,36.5184,20.7723,2.6616,52.632,"ADAPTIVE STN 2"
"8213","RP2",104,36.5182,20.7791,2.6552,52.509,"ADAPTIVE STN 2"
"8214","RP2",103.8,36.5193,20.7789,2.6477,52.36,"ADAPTIVE STN 2"
"8215","RP2",103.6,36.5209,20.7814,2.6512,52.433,"ADAPTIVE STN 2"
"8216","RP2",103.2,36.5167,20.7806,2.6523,52.457,"ADAPTIVE STN 2"
"8217","RP2",103,36.5204,20.8343,2.6737,52.928,"ADAPTIVE STN 2"
"8218","RP2",102.8,36.5291,20.8671,2.6895,53.276,"ADAPTIVE STN 2"
"8219","RP2",102.6,36.514,20.9159,2.7046,53.618,"ADAPTIVE STN 2"
"8220","RP2",102.4,36.5137,20.9141,2.7058,53.639,"ADAPTIVE STN 2"
"8221","RP2",102.2,36.5141,20.9147,2.7047,53.618,"ADAPTIVE STN 2"
"8222","RP2",102,36.5146,20.915,2.7093,53.71,"ADAPTIVE STN 2"
"8223","RP2",101.6,36.5223,20.9128,2.7067,53.652,"ADAPTIVE STN 2"
"8224","RP2",101.4,36.519,20.9121,2.6994,53.513,"ADAPTIVE STN 2"
"8225","RP2",101.2,36.5158,20.9356,2.7211,53.964,"ADAPTIVE STN 2"
"8226","RP2",101,36.5164,20.9445,2.7143,53.838,"ADAPTIVE STN 2"
"8227","RP2",100.8,36.515,20.9595,2.735,54.262,"ADAPTIVE STN 2"
"8228","RP2",100.6,36.5131,20.9599,2.7332,54.226,"ADAPTIVE STN 2"
"8229","RP2",100.4,36.514,20.9584,2.725,54.061,"ADAPTIVE STN 2"
"8230","RP2",100.2,36.5148,20.9621,2.724,54.045,"ADAPTIVE STN 2"
"8231","RP2",100,36.5116,20.965,2.7438,54.442,"ADAPTIVE STN 2"
"8232","RP2",99.8,36.5137,20.9636,2.7404,54.373,"ADAPTIVE STN 2"
"8233","RP2",99.6,36.5134,20.9645,2.7374,54.316,"ADAPTIVE STN 2"
"8234","RP2",99.4,36.5179,20.9657,2.7358,54.286,"ADAPTIVE STN 2"
"8235","RP2",99.2,36.5207,20.9692,2.7377,54.327,"ADAPTIVE STN 2"
"8236","RP2",98.8,36.5016,20.987,2.7513,54.621,"ADAPTIVE STN 2"
"8237","RP2",98.6,36.5345,21.0207,2.7545,54.716,"ADAPTIVE STN 2"
"8238","RP2",98.4,36.5314,21.0538,2.7564,54.785,"ADAPTIVE STN 2"
"8239","RP2",98.2,36.5207,21.0779,2.7599,54.876,"ADAPTIVE STN 2"
"8240","RP2",98,36.5029,21.1065,2.7948,55.592,"ADAPTIVE STN 2"
"8241","RP2",97.8,36.5071,21.1021,2.7992,55.675,"ADAPTIVE STN 2"
"8242","RP2",97.4,36.4814,21.0875,2.7989,55.67,"ADAPTIVE STN 2"
"8243","RP2",97,36.5156,21.221,2.8289,56.397,"ADAPTIVE STN 2"
"8244","RP2",96.8,36.5017,21.2939,2.8793,57.464,"ADAPTIVE STN 2"
"8245","RP2",96.6,36.5004,21.3058,2.9053,57.996,"ADAPTIVE STN 2"
"8246","RP2",96.4,36.5008,21.3034,2.8998,57.883,"ADAPTIVE STN 2"
"8247","RP2",96.2,36.5064,21.3141,2.9133,58.167,"ADAPTIVE STN 2"
"8248","RP2",96,36.4974,21.3966,2.9366,58.713,"ADAPTIVE STN 2"
"8249","RP2",95.8,36.4901,21.3981,2.9462,58.906,"ADAPTIVE STN 2"
"8250","RP2",95.6,36.4961,21.3982,2.9455,58.894,"ADAPTIVE STN 2"
"8251","RP2",95.4,36.495,21.4007,2.9465,58.916,"ADAPTIVE STN 2"
"8252","RP2",95.2,36.494,21.401,2.9474,58.934,"ADAPTIVE STN 2"
"8253","RP2",95,36.4946,21.4007,2.9461,58.906,"ADAPTIVE STN 2"
"8254","RP2",94.8,36.5026,21.44,2.9551,59.131,"ADAPTIVE STN 2"
"8255","RP2",94.6,36.4988,21.476,2.9677,59.42,"ADAPTIVE STN 2"
"8256","RP2",94.4,36.5094,21.4956,2.9814,59.721,"ADAPTIVE STN 2"
"8257","RP2",94.2,36.4968,21.5406,3.004,60.217,"ADAPTIVE STN 2"
"8258","RP2",94,36.4868,21.5644,3.0478,61.117,"ADAPTIVE STN 2"
"8259","RP2",93.8,36.4991,21.5713,3.0551,61.275,"ADAPTIVE STN 2"
"8260","RP2",93.6,36.51,21.6169,3.0736,61.7,"ADAPTIVE STN 2"
"8261","RP2",93.4,36.4831,21.7351,3.1284,62.922,"ADAPTIVE STN 2"
"8262","RP2",93.2,36.461,21.7493,3.2263,64.9,"ADAPTIVE STN 2"
"8263","RP2",93,36.4604,21.7507,3.2602,65.584,"ADAPTIVE STN 2"
"8264","RP2",92.6,36.4517,21.7527,3.2314,65.019,"ADAPTIVE STN 2"
"8265","RP2",92.4,36.4669,21.7959,3.2416,65.264,"ADAPTIVE STN 2"
"8266","RP2",92.2,36.4578,21.8324,3.2845,66.165,"ADAPTIVE STN 2"
"8267","RP2",92,36.4538,21.841,3.3055,66.598,"ADAPTIVE STN 2"
"8268","RP2",91.8,36.4534,21.845,3.3051,66.594,"ADAPTIVE STN 2"
"8269","RP2",91.6,36.4579,21.908,3.3206,66.984,"ADAPTIVE STN 2"
"8270","RP2",91.4,36.4279,22.0787,3.4755,70.308,"ADAPTIVE STN 2"
"8271","RP2",91.2,36.4074,22.1124,3.5849,72.554,"ADAPTIVE STN 2"
"8272","RP2",90.8,36.442,22.1232,3.5917,72.685,"ADAPTIVE STN 2"
"8273","RP2",90.6,36.4215,22.1375,3.6467,73.844,"ADAPTIVE STN 2"
"8274","RP2",90.4,36.4163,22.2259,3.6631,74.291,"ADAPTIVE STN 2"
"8275","RP2",90.2,36.3882,22.3352,3.8047,77.298,"ADAPTIVE STN 2"
"8276","RP2",90,36.3989,22.3584,3.8101,77.445,"ADAPTIVE STN 2"
"8277","RP2",89.8,36.4017,22.3885,3.8161,77.607,"ADAPTIVE STN 2"
"8278","RP2",89.6,36.3869,22.4393,3.863,78.626,"ADAPTIVE STN 2"
"8279","RP2",89.4,36.3848,22.4802,3.9282,80.011,"ADAPTIVE STN 2"
"8280","RP2",89.2,36.3687,22.5258,3.9834,81.192,"ADAPTIVE STN 2"
"8281","RP2",89,36.3656,22.5513,4.051,82.606,"ADAPTIVE STN 2"
"8282","RP2",88.6,36.3222,22.7436,4.2403,86.753,"ADAPTIVE STN 2"
"8283","RP2",88.4,36.3192,22.8399,4.5093,92.393,"ADAPTIVE STN 2"
"8284","RP2",88.2,36.3166,22.8512,4.5634,93.517,"ADAPTIVE STN 2"
"8285","RP2",88,36.3108,22.8522,4.5211,92.65,"ADAPTIVE STN 2"
"8286","RP2",87.8,36.3168,22.8409,4.4625,91.434,"ADAPTIVE STN 2"
"8287","RP2",87.6,36.3215,22.8425,4.4395,90.966,"ADAPTIVE STN 2"
"8288","RP2",87.4,36.3183,22.8457,4.459,91.37,"ADAPTIVE STN 2"
"8289","RP2",87.2,36.3213,22.8451,4.4455,91.094,"ADAPTIVE STN 2"
"8290","RP2",87,36.3238,22.8461,4.4429,91.045,"ADAPTIVE STN 2"
"8291","RP2",86.8,36.3254,22.8468,4.4668,91.536,"ADAPTIVE STN 2"
"8292","RP2",86.6,36.3224,22.8499,4.4465,91.122,"ADAPTIVE STN 2"
